Arrest Number,Race,Ethnicity,Sex,Age,Arrest Date,Arrest Time,Arrest Type,UCR Code,Description,F/M,Counts,Location of Arrest,X,Y,District,Beat,Tract
330974,B,N,M,30,6/13/22,10:52:00AM,On-View,13B,ASSAULT LAW ENFORCEMENT OR STATE OFFICER,M,1,1100 WABASH ST,2033309.899,810144.1903,D4,413,1400
341515,B,N,M,49,10/22/23, 8:29:00PM,On-View,90Z,RESIST DELAY OBSTRUCT PUBLIC OFFICER,M,1,1800 HOLLOWAY ST,2038534.781,816094.9628,D1,114,1002
834097,B,N,M,33,8/3/24, 3:12:00AM,Warrant/OFA,9910,WARRANT SERVICE FOR OTHER JURISDICTION,,1,4800 GARRETT RD,2008382.041,801879.1316,D3,323,2018
318511,B,N,F,26,5/29/20, 2:41:00PM,Warrant/OFA,23H,LARCENY (MISDEMEANOR),M,1,ARCHDALE DR/MARTIN LUTHER KING JR PKWY,2019926.029,803397.3985,D3,322,2007
319823,W,N,F,24,9/3/20, 7:31:00PM,Warrant/OFA,9910,WARRANT SERVICE FOR OTHER JURISDICTION,M,1,600 E MAIN ST,2031319.043,815457.4287,D5,513,1100
327778,A,N,F,28,1/16/22, 3:52:00PM,On-View,13B,SIMPLE ASSAULT & BATTERY OR AFFRAY,M,1,1200 CAPSTONE DR,2018742.612,772303.5234,D4,422,2020
317983,B,N,F,53,4/28/20, 5:12:00AM,On-View,90Z,RESIST DELAY OBSTRUCT PUBLIC OFFICER,M,1,300 E LAWSON ST,2028631.77,810368.5665,D4,411,1303
307193,B,N,F,45,10/15/18,10:05:00AM,On-View,35A,MAINTAIN DWELLING/VEH FOR CONTROLLED SUBSTANCE,F,1,500 S DUKE ST,2026814.379,817067.3752,D5,512,700
836302,B,,F,33,10/30/24,10:38:00AM,Warrant/OFA,13B,DOMESTIC VIOLENCE,M,1,3600 N DUKE ST,2028118.03,836660.2571,D2,223,1710
328112,B,N,M,19,2/8/22, 7:34:00PM,On-View,520,CARRYING CONCEALED WEAPONS,M,1,300 S ELM ST,2031736.678,814355.1888,D5,513,1100
341768,B,N,F,25,11/9/23, 3:42:00PM,Warrant/OFA,9910,WARRANT SERVICE FOR OTHER JURISDICTION,M,1,3700 MT MORIAH RD,2002052.457,800659.0966,D3,323,2018
328231,W,N,M,65,2/16/22,11:03:00AM,Warrant/OFA,90Z,FAIL TO APPEAR-CRIMINAL SUMMONS OR CITATION,M,1,700 NINTH ST,2022965.7,821722.9911,D5,511,402
334340,W,H,M,20,1/19/23,11:16:00PM,Summons/Cited,35A,POSSESS CONTROL SUBSTANCE SCHEDULE VI,M,1,2300 WHITLEY DR,2023150.353,809135.9168,D3,311,700
310402,B,N,M,25,4/4/19, 9:11:00AM,Warrant/OFA,90Z,FAIL TO APPEAR-RELEASE ORDER,M,1,200 S MANGUM ST,2029489.438,816282.1815,D5,512,2300
332567,B,N,M,29,9/28/22,10:39:00PM,Warrant/OFA,13A,ASSAULT INFLICT SERIOUS INJURY OR AWDW,M,1,900 WADESBORO ST,2044560.712,809974.0183,D1,114,1802
